ID,Cluster
acemkurdi--sarki--devrihindi--bir_vefasiz--selanikli_ahmed_bey,1
acemkurdi--sarki--duyek--artik_gelecek--arif_sami_toker,1
acemkurdi--sarki--duyek--baharla_hazan--avni_anil,1
acemkurdi--sarki--duyek--bir_baska--avni_anil,1
acemkurdi--sarki--duyek--bir_sevda--arif_sami_toker,1
acemkurdi--sarki--duyek--ne_kadar--arif_sami_toker,1
acemkurdi--sarki--duyek--unutmak_istesem--arif_sami_toker,1
acemkurdi--sarki--kapali_curcuna--canan_bilirim--ekrem_guyer,1
acemkurdi--sarki--kapali_curcuna--sana_eller--faruk_kayacikli,1
acemkurdi--sarki--kapali_curcuna--yukselen_nagmenle--muzaffer_ilkar,3
acemkurdi--sarki--kapali_curcuna--zehretme_hayati--zeki_muren,3
acemkurdi--sarki--semai--asikim_ben--necdet_tokatlioglu,3
acemkurdi--sarki--semai--bak_yine--izzet_altinbas,3
acemkurdi--sarki--semai--sen_kalbimin--teoman_alpay,3
acemkurdi--sarki--semai--yillar_sonra--yildirim_gurses,1
acemkurdi--sarki--senginsemai--askin_ile--sadi_hosses,1
acemkurdi--sarki--senginsemai--ruzgar_uyumus--refik_fersan,3
acemkurdi--sarki--sofyan--yar_pesinde--zeki_duygulu,3
acemkurdi--sarki--yuruksemai--bari_felek--nikogos_aga,1
acemkurdi--sarki--yuruksemai--yollarda_kalan--muzaffer_ilkar,1
acemkurdi--sarki--yuruksemai_ii--fikrimin_ince--muallim_ismail_hakki_bey,1
acemkurdi--sazsemaisi--aksaksemai----muallim_ismail_hakki_bey,3
acemkurdi--seyir--senginsemai--1--erol_bingol,2
acemkurdi--seyir--sofyan--1--sefik_gurmeric,2
acemkurdi--turku--duyek--ankaranin_yollari--,1
acemkurdi--turku--duyek--ham_meyveyi--,1
acemtarab--pesrev--havi----kantemiroglu,0
anberefsan--sazsemaisi--aksaksemai----huseyin_sadettin_arel,0
araban--kupe--musemmen--etse--ahmet_avni_konuk,1
arazbar--agirsemai--agir_aksaksemai--gonul_tab-aver--sadullah_aga,1
arazbar--kupe--duyek--ol_kadar--ahmet_avni_konuk,2
arazbar--seyir--duyek--1--sefik_gurmeric,2
arazbar--seyir--semai--1--rauf_yekta,1
arazbar--seyir--sofyan--1--erol_bingol,2
arazbarbuselik--kupe--agiraksak--buse--ahmet_avni_konuk,2
arazbarbuselik--murabba--cenber--anlayan_yok--ali_rifat_cagatay,3
arazbarbuselik--sazsemaisi--aksaksemai----refik_fersan,1
asiranmaye--kupe--aksaksemai--bir--ahmet_avni_konuk,0
asiranzemzeme--pesrev--sofyan----,2
askefza--pesrev--ayindevrirevani----huseyin_sadettin_arel,0
askefza--sarki--sofyan--kimbilir_belki--murat_demirhan,0
askefza--sarki--sofyan--omrumuzun_bahari--erol_sayan,0
askefza--sarki--yuruksemai_ii--anlatamamaktan--ayhan_zeren,0
askefza--seyir--devrihindi--1--erol_bingol,2
bahrinazik--kupe--duyek--mahi-yi--ahmet_avni_konuk,3
bendihisar--kupe--yuruksemai--her--ahmet_avni_konuk,2
besteisfahan--kupe--evfer--isfahanli--ahmet_avni_konuk,0
besteisfahan--seyir--sofyan--1--sefik_gurmeric,2
besteisfahan--yuruksemai--yuruksemai--bir_elif--ebubekir_aga,0
bestenigar--kupe--evfer--kim--ahmet_avni_konuk,0
bestenigar--pesrev--fahte----tatyos_efendi,0
bestenigar--sarki--agiraksak--gayridan_bulmaz--kazasker_mustafa_izzet_efendi,3
bestenigar--sarki--agiraksak--kacma_mecburundan--hasim_bey,0
bestenigar--sarki--aksak--perisan_halin--emin_ongan,1
bestenigar--sarki--aksak--sana_gul--omer_sami_gupgup,3
bestenigar--sarki--aksak--çok_gordu--haci_arif_bey,0
bestenigar--sarki--duyek--yakti_cihani--ismet_aga,0
bestenigar--sarki--kapali_curcuna--ben_seni--dede_efendi,3
bestenigar--sarki--kapali_curcuna--cok_surmedi--enderunlu_hafiz_husnu_efendi,3
bestenigar--sazsemaisi--aksaksemai----tanburi_cemil_bey,3
bestenigar--seyir--duyek--1--sefik_gurmeric,0
bestenigar--seyir--semai--1--rauf_yekta,0
bestenigar--seyir--sofyan--1--erol_bingol,0
beyati--agirsemai--agir_aksaksemai--didi_ci_kerdi--yahya_nazim_celebi,3
beyati--agirsemai--agir_aksaksemai--dil-i_asiklari--haci_salih_aga,3
beyati--agirsemai--agir_aksaksemai--ruhsarin_uzre--hamparsum,1
beyati--agirsemai--agir_aksaksemai--soylen_ol--bolahenk_nuri_bey,3
beyati--agirsemai--aksaksemai--cikmaz_derun_u--tabi_mustafa_efendi,3
beyati--aranagme--agiraksak--1--,3
beyati--aranagme--curcuna--1--,1
beyati--beste--devrikebir--ol_gulun--zekai_dede,3
beyati--beste--devrikebir--uri_uri--mose_cordova,1
beyati--beste--hafif--arz-i_didar--hamparsum,3
beyati--beste--hafif--bir_gonca_femin--dede_efendi,3
beyati--beste--nimdevir--degil_cam-i_mey--yahya_nazim_celebi,3
beyati--beste--remel--bir_kerre--bolahenk_nuri_bey,1
beyati--ilahi--durakevferi--bulbul-i_surideyim--nalizade_ibrahim_efendi,1
beyati--ilahi--duyek--kapisi_yok--,3
beyati--kanto--sofyan--karga_da_seni--,3
beyati--karsilama--ciftesofyan--tekirdag_karsilamasi--anonim,2
beyati--kupe--duyek--mutriba--ahmet_avni_konuk,3
beyati--mehter--yuruksemai_ii----zurnazen_dagi_ahmet_celebi,3
beyati--pesrev--darbifetih----tanburi_isak,3
beyati--pesrev--devrikebir----neyzen_emin_dede,3
beyati--pesrev--hafif----seyfettin_osmanoglu,3
beyati--pesrev--hafif----tanburi_cemil_bey,3
beyati--sarki--agiraksak--aman_ey_yar-i--neyzen_riza_bey,1
beyati--sarki--agiraksak--bir_katre--sevki_bey,3
beyati--sarki--agiraksak--bulbul-u_seydaya--serif_icli,3
beyati--sarki--agiraksak--gecti_sevdalarla--nuri_halil_poyraz,3
beyati--sarki--agiraksak--gul_hazin--rahmi_bey,1
beyati--sarki--agiraksak--muptelayim--dede_efendi,1
beyati--sarki--agiraksak--ne_bahar--rakim_elkutlu,1
beyati--sarki--agirduyek--her_dem--dede_efendi,1
beyati--sarki--aksak--benzemez_kimse--fehmi_tokay,3
beyati--sarki--aksak--delisin_deli--selahaddin_pinar,1
beyati--sarki--aksak--gonlum_geri--kasim_inaltekin,3
beyati--sarki--aksak--karsidan_yar--dede_efendi,1
beyati--sarki--aksak--meclise_gel--tanburi_mustafa_cavus,1
beyati--sarki--aksak--ne_semtden--kemani_riza_efendi,3
beyati--sarki--aksak--sebep_ne--markar_aga,3
beyati--sarki--aksaksemai--aglatma_beni--dede_efendi,3
beyati--sarki--ciftesofyan--cikalim_sayd_u--tanburi_mustafa_cavus,3
beyati--sarki--curcuna--akip_gitti--yener_topaloglu,1
beyati--sarki--curcuna--gel_nazli_gulum--alaeddin_yavasca,3
