makam,form,usul,title,composer,filename,note_count,unique_note_count,minimum_koma53,maximum_koma53,mean_koma53,median_koma53,std_koma53,koma53_range,total_unit_duration,minimum_unit_duration,maximum_unit_duration,mean_unit_duration,median_unit_duration,std_unit_duration,most_common_note,most_common_note_count
acemasiran,sarki,curcuna,dilde_derd-i,nuri_halil_poyraz,acemasiran--sarki--curcuna--dilde_derd-i--nuri_halil_poyraz.txt,518,17,-1,371,313.4111969111969,327.0,72.23456599364305,372,99.125,0.0625,0.875,0.19136100386100385,0.125,0.10404251343292484,F5,71
acemasiran,sarki,curcuna,gam_cekme_guzel,arif_sami_toker,acemasiran--sarki--curcuna--gam_cekme_guzel--arif_sami_toker.txt,617,18,-1,362,315.4602917341977,327.0,53.25510275452741,363,147.625,0.0625,1.625,0.23926256077795785,0.125,0.2602869045317196,E5,89
acemasiran,sarki,curcuna,neden_kalbim,nasibin_mehmet_yuru,acemasiran--sarki--curcuna--neden_kalbim--nasibin_mehmet_yuru.txt,355,15,-1,362,284.55774647887324,327.0,111.87823241168348,363,54.9375,0.0625,0.25,0.15475352112676055,0.125,0.05947355399311775,F5,54
acemasiran,sarki,devrihindi,ey_gul-i_rana,neveser_kokdes,acemasiran--sarki--devrihindi--ey_gul-i_rana--neveser_kokdes.txt,309,21,-1,393,309.21035598705504,318.0,63.76344591741002,394,47.875,0.03125,0.875,0.15493527508090615,0.125,0.13570782997036315,F5,36
acemasiran,sarki,devrihindi,neseyab_ol,ahmet_mukerrem_akinci,acemasiran--sarki--devrihindi--neseyab_ol--ahmet_mukerrem_akinci.txt,478,20,-1,371,318.61087866108784,327.0,62.84474936632387,372,70.0,0.0625,0.5,0.14644351464435146,0.125,0.08908352743362997,F5,74
acemasiran,sarki,devrihindi,ruy-i_alemdir,dellalzade_haci_ismail_efendi,acemasiran--sarki--devrihindi--ruy-i_alemdir--dellalzade_haci_ismail_efendi.txt,296,14,283,371,318.4932432432432,318.0,18.996162546146397,88,28.0,0.041666666666666664,0.5,0.0945945945945946,0.0625,0.05993455992586752,A4,42
acemasiran,sarki,duyek,bu_hal,sadettin_kaynak,acemasiran--sarki--duyek--bu_hal--sadettin_kaynak.txt,432,18,-1,362,302.1550925925926,318.0,78.95630981952128,363,59.5,0.0625,0.75,0.13773148148148148,0.125,0.0813438728015066,C5,70
acemasiran,sarki,duyek,bulutlar_kokunu,sadettin_kaynak,acemasiran--sarki--duyek--bulutlar_kokunu--sadettin_kaynak.txt,323,13,-1,358,263.9504643962848,318.0,125.118592282989,359,80.0,0.0625,0.75,0.2476780185758514,0.25,0.16155790948697282,C5,49
acemasiran,sarki,duyek,gonul_seni,sadettin_kaynak,acemasiran--sarki--duyek--gonul_seni--sadettin_kaynak.txt,325,20,-1,371,297.4246153846154,336.0,100.68992561625907,372,53.0,0.041666666666666664,0.75,0.16307692307692306,0.125,0.10954694969753465,F5,56
acemasiran,sarki,duyek,pence-i_gamdan,misirli_udi_ibrahim_efendi,acemasiran--sarki--duyek--pence-i_gamdan--misirli_udi_ibrahim_efendi.txt,369,16,-1,380,317.8130081300813,327.0,56.70288931276514,381,40.0,0.020833333333333332,0.25,0.10840108401084012,0.0625,0.06746189210138581,D5,59
acemasiran,sarki,duyek,ruhumda_derin,kemal_gurses,acemasiran--sarki--duyek--ruhumda_derin--kemal_gurses.txt,482,14,-1,362,312.0539419087137,336.0,76.99416233926505,363,62.5,0.03125,1.0,0.12966804979253113,0.125,0.10886328556404097,F5,100
acemasiran,sarki,duyek,sim-ten_gonca,sakir_aga,acemasiran--sarki--duyek--sim-ten_gonca--sakir_aga.txt,401,20,-1,380,320.00249376558605,336.0,68.46661590706515,381,58.0,0.0625,0.5,0.14463840399002495,0.125,0.09272402019674506,F5,57
acemasiran,sarki,raksaksagi,bana_tavr-i,sakir_aga,acemasiran--sarki--raksaksagi--bana_tavr-i--sakir_aga.txt,274,15,-1,362,322.74817518248176,327.0,34.749001834958875,363,40.5,0.0625,0.375,0.1478102189781022,0.125,0.05151988951918559,F5,38
acemasiran,sarki,semai,bitmesin_icimdeki,omer_dilek,acemasiran--sarki--semai--bitmesin_icimdeki--omer_dilek.txt,385,17,-1,362,312.31168831168833,318.0,59.11704045706785,363,91.75,0.0625,1.5,0.2383116883116883,0.125,0.19615793751864663,C5,67
acemasiran,sarki,semai,ey_cesm-i,nikogos_aga,acemasiran--sarki--semai--ey_cesm-i--nikogos_aga.txt,249,18,0,380,322.4618473895582,321.0,27.54174892177627,380,71.5,0.0625,1.5,0.28714859437751006,0.25,0.18958983743784846,C5,57
acemasiran,sarki,semai,sorma_dostum,nuri_halil_poyraz,acemasiran--sarki--semai--sorma_dostum--nuri_halil_poyraz.txt,492,20,-1,393,326.770325203252,336.0,45.59891213257251,394,63.125,0.0625,0.75,0.12830284552845528,0.0625,0.12153503409828545,F5,68
acemasiran,sarki,semai,yagmur_ol,amir_ates,acemasiran--sarki--semai--yagmur_ol--amir_ates.txt,401,15,-1,371,303.1147132169576,327.0,84.62589324775278,372,120.25,0.125,1.5,0.29987531172069826,0.25,0.2401301405779064,F5,54
